,Premise,Hypothesis,Label
226658,This says the police are convicting people before they even go to trial just because of their race.,"However, this indicates that law enforcement is convicting before trying and is ignoring the fact that in performing illegal searches, they themselves are criminals.",neutral
176514,The Hotel Chambellan is the most grand of the two.,"In the Rue des Forges, note the H??tel Chambellan (at number 34) and the H??tel Aubriot (at number 40), home of the Provost of Paris who built the Bastille prison.",neutral
238727,She's very unhealthy and isn't able to drive.,she drives and everything she she's perfectly healthy uh,contradiction
250587,The home page of the EPA is concerned with appealing to various types of visitors.,EPA had a link on its home page for particular audience groups.,entailment
167640,A stroll along the Via di Cappuccino and Via Riccotta will show you the town's noble Renaissance brothel.,A stroll along the Via di Gracciano and Via Ricci to see the town's noble Renaissance palazzi will explain why.,contradiction
318027,The Fourth Court has numerous beautiful pavilions and terraces as well as places to eat and look out on the Bosphorus.,"The Fourth Court contains a number of pretty pavilions and terraces, and a restaurant and cafeeria with fine views of the Bosphorus.",entailment
241839,Dentistry doesn't work.,Dentistry is a hassle now because it works.,contradiction
148814,You have to learn quickly because you don't know anything about the game.,"If you are going to travel with us and do battle, you are going to have to learn fast.",neutral
355642,I'll keep the sixth point to myself.,"No, the sixth point I will keep to myself for the present."" He looked quickly round the room.",entailment
274925,Java programs can be run in a virtual machine.,"(The virtual machine is the program that interprets or, in some cases, compiles and runs the compact Java bytecodes that make up a Java program.)",entailment
184538,The Security Act requires that the agency has a fiscal plan.,"The Security Act requires the establishment of agencywide information security programs, annual agency program reviews, annual independent evaluations of agency programs and practices, agency reporting to OMB, and OMB reporting to Congress.",contradiction
40187,FMFIA act of 1982 requires aGAO to issue standers for government internal control,The Federal Managers' Financial Integrity Act of 1982 (FMFIA) requires the General Accounting Office (GAO) to issue standards for internal control in government.,entailment
221068,Federal agencies didn't change the way they operate in the past several years.,"Over the past several years, Congress has taken steps to fundamentally change the way federal agencies go about their work.",contradiction
154051,This is an exciting story too.,"This one's a story, too.",neutral
3519,Their leaders are the most important employees on payroll.,"They hire individuals to act as leaders, teachers and resources in this arena.",neutral
170458,They went insane.,They went completely bananas.,entailment
69236,This study is about Particulate Air Pollution as a Predictor of Mortality and was revolutionary.,Particulate Air Pollution as a Predictor of Mortality in a Prospective Study of U.S.,neutral
321927,People who watch public television allegedly have less sex than those who don't.,"Treading delicately around the Paula Jones case, the commentariat giggled like schoolchildren over a recent poll proclaiming that public television watchers have more sex than most.",contradiction
186769,Halt him?,Stop him?,entailment
326531,Many of the garrison stayed on the island.,Many of the garrison remained and settled per?Î­a?Î®ently on the island.,entailment
380030,His words flew across his lips in the spring weather.,"I'm tellin' you, it was so cold th' ramrod came out to give th' mornin' orders an' his words, they jus' naturally froze up solid.",contradiction
41579,Gore agreed with Bradley.,"Bradley replies that they weren't, and Gore pounces on this  I think all three were mistakes, but I'm not going to debate the details.",contradiction
348330,Morris himself had never made a mistake in his life.,Morris can be heard asking one question  Have you ever thought you might be wrong or that you made a mistake?,neutral
389570,"Having been imprisoned by the Vietnamese, Lee sees the East/West divide in more strident terms.",Huang is also interested in the conflict between Western and Eastern cultures but seems less enraged on the topic than Lee.,neutral
36375,The best screen ignores screening,The best screen should be determined in the context of a screening and intervention program.,contradiction
304905,Algeria and Morocco had many internal struggles.,"However, the colonial struggles in Algeria and Morocco were to have significant impact on French national identity in later years.",entailment
298073,"When I get a job, I'll look into the health insurance policy really deep.",um-hum so the so i guess that if when i get a job and i and i look into the health insurance that they're going to pay for then i should really look really really deep into the policy,entailment
355957,Most of the organizations faced the challenge of developing and maintaining an organization with the appropriate operational skills,Most of the organizations faced the challenge of developing and maintaining an organization with the appropriate operational skills to facilitate the members' participation and oversee administrative activities that ensured continued and effective information sharing.,entailment
359289,Does drug testing work in the workplace?,do you feel that uh drug testing is necessary at the workplace,neutral
188468,The Farmer's Market is only on Sundays,Santa Monica's outdoor Farmers' Market is held each Wednesday and on Saturday mornings along Arizona Avenue at the Third Street Promenade.,contradiction
288538,We would have to save double of what we are saving now to improve the economic outlook of the nation.,"Clearly, saving more would improve the nation's long-term economic outlook-but how much more do we need to save?",neutral
378156,"I don't know, nobody knows.","We know, we know.",contradiction
179594,Some slaves were freed if they offered their services.,Some of the slaves were able to gain freedom in return for special services rendered.,entailment
270448,She has a tradition of compassion for the poor.,"I think the tradition for compassion for the poor encouraged that gift in me, she said.",entailment
256056,Chinese citizens could not enter European zones without consequence.,"The Chinese were barred from these areas, and from any European neighborhood.",entailment
68530,At least one Indio was able to face Don Cazar and stand their ground.,Where is there one Indio who is able to face Don Cazar on his own ground?,entailment
72218,I have people who swear by me.,''I have people who swear by me.,entailment
359707,I'm sure you've observed all the trees that are out.,and you noticed all the pretty little trees that are out everything now the native trees,entailment
169643,He could not have got the coco.,"But look here, how could he have got at the coco?",neutral
332159,They blocked everything.,They shifted and moved but did not strike or block.,contradiction
190976,This index refers to another statement.,"This index provides references to the topic in (1) this Volume, (2) the original statements, and (3) Volume 2. References to the original statements are organized as  The first character indicates that it is a Concepts Statement (C) or a Standards Statement (S).",entailment
340734,Piloting a few agencies doesn't make sense when the new approach can just be rolled out all at once with no problems.,"If Congress and the executive branch decide to move forward with the COO approach, it may make sense to use a pilot in a select number of agencies using a value and risk-based approach.",contradiction
274140,"The secret hiding place was not so secretive after all, as they were found a number of years later,",He organized the rewrapping of many mummies and devised a secret hiding place for them in a narrow valley behind the Temple of Hatshepsut.,neutral
136205,She hasn't been able to get more than the one automobile dealership.,and uh then she found out that these automobile dealerships needed and so she got some people to help her and she had one and then she was doing a good job and she wound up having uh eight or ten automobile dealerships,contradiction
209116,Johnnys decision to go off with Howard was not a good one.,Johnny warn't no real trouble 'fore he skinned off to ride with Howard.,entailment
234677,That's great. What instrument does he know how to play?,um-hum that's good what instrument does he play,entailment
383503,Pecos is 50 miles from Ft.,"On Wednesday, April 30, police in Pecos, 80 miles from Ft.",contradiction
120813,"We thought your uncle was the person in the prophecy, but now we think it's you.",And those words coupled with our revelations prophesy that _you_--not your uncle--can do the impossible.,neutral
359978,Did you fix something?,you oh no are you  did you break something,contradiction
70958,"I am, for sure!",oh no i'm not,contradiction
13401,Adding another star to our flag would call for a major redesign.,i think one of the most interesting things about the possibility of uh attaining a fifty first state is what would we do about our flag how do you arrange fifty one stars,neutral
40396,The parliament building's rotunda now lies wrecked and plunged in shadows at night.,"Designed by the famous Herbert Baker, the rather too massive, colonnaded rotunda of the parliament building is at its best illuminated at night.",contradiction
133467,It sounds lie you have no idea what you are talking about.,It really sounds like you know what you're talking about.,contradiction
256840,The lunar festival is one of the world's most popular festivals.,"Note that since many festivals follow the lunar calendar, the actual dates vary from year to year.",neutral
232183,The highest quality programs should be kept secret so that their quality is not diluted.,Vigorously promote those legal services programs that provide high-quality legal assistance holding them out as programs others should emulate.,contradiction
282444,His statue is outside the town library.,"His statue can be found on Main Street, outside the town library.",entailment
144593,Multiple different topics are addressed in this paper.,This paper addresses only geographic cream skimming.,contradiction
13624,It is highly likely that Forbes will run similar negative campaign spots again.,"On the bright side, Forbes' campaign manager says this year Forbes is much less likely to run the same kind of negative spots that he did against Dole, because four years ago he was a message candidate.",contradiction
159287,Presidential pardons are a hot topic this year.,Arelated issue is presidential pardons.,neutral
308614,9 million employees want a wage increase of $109.,"9 million, implying an increase of $109.",neutral
182958,"For entertainment, it is 2 stars.",Entertainment : 2 stars.,entailment
63683,The bloodshed was very brief and very few lives were lost or hurt.,"The bloodshed lasted three years and cost hundreds of thousands of lives, and almost every family on Ibiza not to mention the mainland was touched by tragedy.",contradiction
97706,My approach focuses on the growth of the Holocaust memory.,"As an alternative to my approach, in which the growth in Holocaust memory is to be explained by the contemporary purposes it serves, you suggest a focus on the Jewish tradition of remembering catastrophes.",entailment
344676,"What have you done, Poirot! I cried.","Good heavens, Poirot! I cried.",neutral
306532,The overseer yelled at him as the whip hit him.,"The whip hit him again, and the raging voice of the overseer ranted in his ears.",entailment
378382,The FGD and ACI are not combining their work.,"Other benefits, such as a single mobilization, a single construction manager, and sharing of large construction equipment for the two projects exist, but they are not expected to make a significant difference due to the difference in size between the portions of the combined FGD and ACI project.",contradiction
215044,Havana is the capital of Cuba and it's most populous city.,"Most people begin their journeys in the capital, Havana, before heading to the prized tobacco lands farther west and doubling back across the plains of sugar cane and some of the country's finest colonial towns in central Cuba.",neutral
104868,Figure 9 does not have any lines converging.,"This leads to the current discount of 6a, which is where the lines in Figure 9 cross.",contradiction
9541,Research Design for Generalizing from random survey.,Research Design for Generalizing from Multiple Case Studies.,contradiction
92796,We were able to get a hold of Tuppence.,I wish we could get hold of Tuppence.,contradiction
232621,Tommy Tolles is a pianist and not  a golfer.,"Tommy Tolles, a golfer finishing on 18, made some gestures as though he was going to throw his ball in the lake, and the crowd cheered him on, which got Montgomerie flustered again.",contradiction
310714,There was no change.,that was even harder actually because it was you know it was just a change of,contradiction
355205,Gordon slowed down so Earnhardt couldn't find a way past him.,Gordon thwarted him by slowing down so Earnhardt couldn't get enough distance to find an angle and shoot past him.,entailment
329597,There is now something else in its place.,"It was originally intended as a church for Louis XV, but is now a secular mausoleum of some of the nation's greatest heroes.",neutral
166510,Saint-Pierre is bustling with more than a million people.,"Today Saint-Pierre is a little town of some 6,500 people.",contradiction
206088,The control keeps things moving.,General Control,neutral
315912,Drew did not ask Kirby what happened.,"But there're some.... What did happen here today, Kirby?""Drew told it straight and flat in as few words as possible.",contradiction
3851,There were no questions asked about what to do next.,The question was what to do next?,contradiction
48595,The collection starts with Irish writing from the Medieval Era and ends with Brendan Behand with absolutely zero information of recent writers within the last 30 years.,"The collection begins with medieval Irish writing and ends with Brendan Behan, Liam O'Flaherty, and Sean O'Faol?Â¡in (there's no information about writers of the last 30 years).",entailment
368914,It's impossible to reach Murcia in under seven days.,"The most distant of them, Murcia, is only about 80 km (48 miles) away and all four can be visited in a couple of days.",contradiction
298645,They are helping a company make reports.,"Participants acknowledged that financial reporting, in addition to being largely driven by the accounting profession, also has been driven by the legal system, resulting in an overload of information that is too complex and not easily understood.",neutral
154255,Most people are too drunk to finish all 24 questions.,"The MAST (Michigan Alcohol-Screening Test), developed in 1971 as a screen for alcohol abuse and dependence, has 24 yes/no questions.",neutral
197647,It's not unusual to measure a household's debt burden by the ratio of total debt payments to total income.,The ratio of total debt payments to total income is a common measure of a household's debt burden.,entailment
89019,Jerusalem has mosques.,His mosque is the third largest in Israel and the most important outside Jerusalem.,entailment
278311,I'd lose energy if I did too much of that,can't do too much of that or i'll waste away,entailment
185128,He has the credit card with no limit.,credit line you know uh the credit limit i let him have the one with the least amount,contradiction
284310,The legality and reasoning regarding the absolute rule are being discussed by APHIS.,"In that analysis, APHIS discusses the reason for the final rule and the legal basis for it.",entailment
25819,I think the theory is true.,I do not know whether this theory is true.,neutral
144569,I'm fine.,I feel good.,entailment
324678,The village squares are covered in wheat grain.,"Then the grain is dried in the sun, covering the squares and streets of villages, and is winnowed by tossing it in the air from round trays.",neutral
37178,She would not lift a finger.,"I wouldn't lift a finger to âto â â"" She faltered.",entailment
292323,The staff were happy to have a clear picture of what they were to do.,The acquisition project staff should be assigned clear roles and responsibilities.,neutral
169637,Church was founded by the refugees.,"Through natural disaster, war, and disease, the church has been there as a place of refuge and solace, both physically and spiritually.",neutral
136604,They are not playing.,they're playing it right now,contradiction
371522,You saw eggs on the tray too?,You saw some salt on the tray?,neutral
145714,Dr. Steven Hoefflin liked to look at the genitalia of his patients.,"This week, all three have cover stories about plastic surgeon to the stars Dr. Steven Hoefflin (the man who takes credit for Michael Jackson's nose) and whether he exposed and discussed the genitals of his celebrity patients while they were under anesthesia.",neutral
294097,The methylmercury is quite dangerous for pregnant woman.,Fetuses are particularly vulnerable to methylmercury because of their rapidly developing nervous systems.,neutral
137430,He got distracted and gave up on the little ritual.,He concentrated and went through the little ritual again.,contradiction
319852,I strongly feel that they wouldn't be a burden in the next financial crisis.,well see i have mixed feelings because um it it the with the financial situation i don't really quite understand what would happen there if they would be a burden to us or if they already are a burden so i i really what uh i really don't care you know i mean,contradiction
264979,Very aware of the flight of time.,Evidently no idea of the flight of time.,contradiction
390594,Berman is aware of it.,Berman sadly acknowledges it.,entailment
143427,Not everyone that I want to receive capital will.,yes but my concern is first of all that not all all persons who i think should be receiving capital,entailment
257133,Most successful business owners are not sensitive people.,Boorishness is good for business.,neutral
327364,The NYT and the LAT print it on the front page to draw more attention.,"By contrast, neither the NYT nor the LAT get to it until the inside.",contradiction
310393,Verdun was not damaged in 1944.,Verdun was the site of a major battle in World War I and was badly damaged by bombing in 1944.,contradiction
67030,Cattle that are not fed properly will provide poor meat.,"Cattle need their last meal, after all.",neutral
262341,We are best friends.,The problem  We are not enemies.,contradiction
158243,"I'm in charge of all the general expenses. Groceries, haircuts, gas, that kind of thing.",excuse me for instance i control all the household expenses the groceries uh the haircuts the gasoline for my car any miscellaneous expenses babysitting things like that and uh,entailment
370120,It depends on if we can make it to the movie on time.,That depends.,neutral
9568,Jon was never seen by the man.,Bloodlust still filled the huge man's black eyes until he saw Jon.,contradiction
12348,Bennett said gay marriage was similar to incest and should be outlawed.,"Birch, unlike Clinton, had to give a principled answer--uh, yes--at which point Will and Bennett dragged her through the sordid exercise of distinguishing gay marriage from polygamy and incest.",neutral
176914,I do a lot of research and reading before I cast a vote.,but i do try to i don't just vote for to be voting you know i try to have you know educate myself a little bit you know on the on the issues rather than just voting blindly you know,neutral
285804,A service charge is often included in the bill.,"Bills tend to include tax and service charge, but it is usual to leave a small more than 5 percent is generous.",entailment
259102,It held up okay.,and yet you know it it held up pretty doggone good so,neutral
92327,He is the chairman of the board and editor in chief.,"Here is a chairman of the board, editor in chief, and director who is marketing his company as what might be called a truth play.",entailment
333750,Canadians landed at the beaches of Courseulles and monuments mark the spots.,"Drive west along the D514 to Berniyres and Courseulles (where the Canadians staged their Juno Beach landings, marked by monuments on the beaches), and then the Canadians' cemetery 4 km (21.2 miles) to the south at Reviers.",entailment
134494,The families are sad.,things like that before you know it's like yeah sure you know like to to a couple people that died there their families don't feel it was necessary to do that yeah yeah you you could never you could never bring them back so oh well,neutral
30752,Most actors came to this place to learn to tie their ties.,"He came to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'",neutral
227522,"In 1919, Pickford and Chaplin tried to control production.","It is not the first time that actors have tried to seize the reins of production--that was in 1919, when Mary Pickford, Charles Chaplin, and Douglas Fairbanks joined forces with William S. Hart and D.W.",entailment
265223,Tripp is using someone else's work.,This suggests Tripp is not attempting to construct a first draft in her own words following the earlier instructions.,neutral
247110,Start a diamond necklace-stealing company?,Form a company for the stealing of diamond necklaces?,entailment
96465,Sixteen year olds are the most careful drivers in the country.,"Sixteen-year-olds can drive perfectly on the momentous day they present themselves at the Motor Vehicles Bureau, and then speed recklessly the day after.",contradiction
386225,Nobody speaks to Miss Tuppence.,"I beg your pardon, Miss Tuppence.",contradiction
301080,I started winning radio contests when I grew a beard.,um oh i started my uh music collection in college when i started winning radio contests,neutral
146743,It was suggested that many of the issues could be solved by better vetting among prospective employees.,"Problems identified in numerous evaluations include information systems that do not meet users' needs, exceed cost estimates, or take significantly longer than expected to complete.",neutral
216915,Her husband had no street named for him.,"After all, her husband and two sons had roads named after George Street and Princes Street.",contradiction
131448,Busses are the best way to see landmarks.,"Buses give you a sightseeing tour at a bargain price, respecting schedules as far as traffic allows (rush hours can create terrible jams).",neutral
329940,Time has also done covers on Rock and Roll.,Time 's cover story celebrates Hip-Hop Nation and chronicles the genre's 20 year rise.,neutral
256966,The Bourbon is a cheap drink.,"If you insist on sticking to imported Scotch or Bourbon, expect to pay a relative fortune.",contradiction
158189,Some one who will mistreat me.,Some one who'll be good to me.,contradiction
62395,It's uncertain what will actually end up happening to Asia's economy.,That in turn could--most likely would--trigger another round of devaluations in Asia and set back the region's recovery.,neutral
138005,I don't care if people are impressed with me.,What? We all like to impress people.,contradiction
178769,The neighbor who beats elderly people used a whip.,Perhaps they are elderly people who are swindled out of their life savings or beaten by a neighbor or acquaintance.,neutral
233378,"She was aware; I don't know how well I could handle if one of my parents was diagnosed with Alzheimer's, which is far more severe.",and um i mean but she was truly she was truly aware i mean i i didn't i don't know how i would how i would deal if if one of my parents came with with Alzheimer's or something like that which is which is far more devastating,entailment
162000,The slogan is true even though some people are not convinced by it.,"The accompanying It's your money slogan, while unconvincing to both voters and pundits, is fundamentally true.",entailment
380491,The Hindus and Muslims were waged in a private war.,"While they mostly keep a low profile, you may hear of  communal incidents  in the cities between the Hindus and Muslims.",neutral
37757,We hate each other.,We laugh and have great fun together and share many of the same interests.,contradiction
225179,The great man did much good for us.,"A great man, he said.",neutral
61618,Do you like to read?,okay what kind of books do you like to read for enjoyment,neutral
360898,They are similar to the petit jury because of how they work.,We're sort of like the petit jury.,neutral
361858,The company's security policies are difficult to find.,"The security officers at the computer vendor said that because the company's information security policies emphasized user behavior, they were included in the organization's employee code of conduct.",contradiction
239621,"The paneling was Victorian style dark wood grain, so even after we applied many coats, it still kept a dark amber shade.",well more or less after about uh half dozen coats it looks reasonable but it kept the the dark it was uh just a real dark uh wood grain type paneling,neutral
242309,Washington Post has never made a report on the subject of embryos.,Washington Post reports two attempts by private companies to grow embryos--a practice banned among federally funded researchers but allowed in the private sector.,contradiction
243959,The city's growth has stagnated in recent years.,"As the city expands, so do the shopping facilities.",contradiction
37553,My spouse is musically inclined and has an extensive music collection.,yes i know what you mean i i know my husband he um plays an instrument and he played in the band when he was in college and in high school and so he has a lot of all different kinds of music and he goes out of his way to play marching band music or,entailment
198014,"The second Palio, also known as August 16th.",Second Palio (16 August),entailment
246673,"The Musee des Arts D??coratifs is its own museum, second in popularity to the Louvre, located five miles west of the Louvre.","Though physically part of the Louvre, the Musee des Arts D??coratifs is a separate museum with its own entrance at 107 Rue de Rivoli.",contradiction
243328,There could never be enough time.,That is not enough time.,neutral
363949,It is amazing the range of things that are taught in schools.,you know we we've got folks running around here who get who get degrees in basket weaving and,neutral
136513,The fifteen year note means we would be able to pay it off in less time.,yeah so that's that's a good way to do it and when we bought this house we looked at doing a fifteen year note because it it added more to the payment but not significant amounts you know it was it was a good payoff for being able to pay it off sooner,entailment
228460,Jon took out the cork and turned it upside down.,Jon unplugged the cork and turned it over.,entailment
299316,It takes up time because you have to go really slowly.,yeah it is a time consumer,neutral
81848,There are no balconies on any of the timber-framed houses.,"Its timber-framed houses of the 15th, 16th, and 17th centuries are marvelous examples of sturdy Norman architecture, achieving a pleasing irregularity in the way the plaster is set in oblique forms between the solid oak posts and collar beams supporting the balconies.",contradiction
364082,at that point what you're getting becomes pretty clear,and then you'll have a realistic assessment of what you're getting,entailment
294528,"According to Greek mythology, Andromeda was sacrificed to a sea monster.","Greek mythology also has it that Andromeda, the beautiful daughter of the King of Jaffa, was chained to a rock at sea just outside the harbour, as a sacrifice to a sea monster (but she was rescued just in time by Perseus).",entailment
63837,Dad got a hotel room because we kicked him out of the house.,My 4-year-old-son suggested that we just get Dad a motel room for the holidays and let him deal with room service.,contradiction
254839,Many people visit to listen to the music from the municipal band.,You can stroll to the music of the municipal band on Sundays or try one of the restaurants on the Paseo.,neutral
253012,"You need to find the best care facility, then try to fit your budget. People also need to be vigilant and observe the level of care given to avoid and issues.",yeah oh yeah so you've yeah you've got to really strike a balance in what kind of care what kind of level of care you need and then what you can unfortunately what you can afford at the same time,neutral
246344,Allowing one employee to handle all parts of a claim has slowed the process significantly.,"For example, VBA streamlined its claims process by allowing one employee to handle all aspects of a claim, instead of requiring employees to write referrals and wait for responses from other divisions.",contradiction
283474,They didn't listen to the lecture at all.,"They had collected a Gladys Mary and a Marjorie, been baffled by one change of address, and had been forced to listen to a long lecture on universal suffrage from a vivacious American lady whose Christian name had proved to be Sadie.",contradiction
18906,"With a dry grin, he said, ""your pretty sure of that, aren't you""","""Kinda sure of that, ain't you?"" The smile had not cracked, nor had it reached those shuttered blue eyes.",entailment
361540,Drugs can also be found in abundance in L.A.,"But L.A.'s not just about excessive behavior, although you'll find that in abundance.",neutral
135157,The output file contained data about the ozone.,"This study extracted hourly, surface-layer ozone concentrations for each grid-cell from the standard CAMx output file containing hourly average ozone values.",entailment
369721,Madeira exports basket weaving.,"Basket weaving and willow work, another of Madeira's most important export trades, also depend upon locals working out of their own homes.",entailment
25046,I have no idea what a publicity stunt is.,"I understand publicity stunts, and this is one.'",contradiction
58076,I never went to California or Death Valley.,i was surprised that last year was my first trip out there i'd never been to California and i went through out to Death Valley and,contradiction
188684,They found this place to be more amusing anyways.,i think that was better than like Showbiz Pizza because there's more for them to do,neutral
295075,The duy didn't speak.,"'This way, Mr. Franklin,' the dense man sad.",contradiction
60277,Fena Dim needs help.,We can save Fena Dim.,entailment
141133,The French Quarter was the name given to the new town.,"This new town became known, ironically, as the French Quarter or Vieux Carre.",entailment
39305,General Wojciech Jaruzelski was the top government official in Poland in December 1981.,General Wojciech Jaruzelski adopted a hard line and declared martial law in December 1981 in response to continued strikes across Poland.,neutral
286132,The one who came before her was crazy.,"Do you remember the one before her?""",neutral
344455,The Presidential Memorandum established the NEPDG.,The Presidential Memorandum establishing the NEPDG provided that one of the results of this action would be the gathering of information relevant to a national energy policy.,entailment
11051,Scientific study of the financials surrounding these programs would go a long way to getting them approved.,He suggested that research on ways of paying for these services could be an important factor in promoting and institutionalizing changes.,entailment
364725,We had a surprise birthday party for a teenager during the first night of the war.,um-hum i know it was kind of exciting at first but and then i know the first night of the bombing we had it was a Wednesday and we had home church and we had a surprise birthday party planned for a sixteen year old,entailment
354728,New laws were put in place after the old ones were removed.,"The results included fairer taxes; less Church influence in schools; more public education; and removal of the Inquisition, Jesuits, the death penalty, and instruments of torture.",neutral
191575,They are blue.,um-hum um it the are they silver or,contradiction
182174,They should be more open rather than closing up further.,"They need more openness, not less.",entailment
326583,The artist committed the crime of murder.,He is able to see that scholars have been covering up the crimes of the artist to protect him from justice.,neutral
362673,The Dutch were very happy to have Johor as a shield.,"For the Dutch, Johor provided a buffer against other Europeans.",neutral
225319,The view from the citadel is very poor and mostly obstructed.,"For a fine view over the port, climb up to the 16th-century citadel, built to defend the town on a coast under constant attack from pirates.",contradiction
138636,The city was dedicated to the god of war.,"The city, dedicated to the worship of Aphrodite, goddess of love, was famous for its superb sculpture.",contradiction
318926,Alicante is frequented by motorists.,"At the centre of the region's road network, Alicante is also a logical base for motorists and for train and bus connections.",entailment
342652,Kristol is biases against left leaning politicans.,"The American left has gone international to win a phony treaty that curbs greenhouse gases, Kristol alleged, because they can't accomplish their goal domestically.",neutral
251684,The man leaning on the pillar was a mercenary.,A mercenary leaned up against a massive wood pillar.,entailment
52670,You are an expert programmer I'm sure you can do it.,so you have a little you know little you can program the one at Cosmopolitan Lady so,neutral
48998,The share of GDP for gross national saving is much higher than it was before.,"By 2024, gross national saving as a share of GDP drops below the mid 15 percent range experienced during the saving slump in the early 1990s.",contradiction
166693,I was impatient while I was talking to Dorcas.,"What is it, Dorcas? I asked impatiently.",entailment
372839,There are many countries in the world who have a similar change in altitude from ground to summit.,"(No country on earth has such a great range in altitude, from 150 m/500 ft to the 8,848 m/29,028 ft summit of Everest.)",contradiction
258171,The village of Dhulikhel is not easy to reach it sits 1 mile into the jungle.,"The Kathmandu area's other popular mountain-viewing spot is the village of Dhulikhel, which has a view very similar to that from Nagarkot and is a bit easier to reach, since it is on the main highway to Tibet.",contradiction
42824,Gulcher Vernon Jordan does not have a lot of money.,"But we own Washington, says Gulcher Vernon Jordan, flashing a smile and a wad of Ben Franklins.",contradiction
145732,The Byzantine empire went on to strengthen its hold over the southern islands.,"When Roman power split in two, the eastern Byzantine Empire inherited the island (though its hold on islands in the south of its dominion were, in reality, nominal).",neutral
376035,Definitely not.,'Of course not.',entailment
115735,No one is ever shot in this case.,and then quite often they'll get shot because,contradiction
94479,The CTT editors when pressed would say that they simply don't agree with the views expressed by the authors.,"The views expressed in this paper are those of the authors and do not necessarilyrepresent the opinions of CTT - Correios de Portugal, Poste Italiane or the Postal RateCommission.",neutral
83355,The comments and resulting changes were discussed in the preamble to the final rule.,The preamble to the final rule discusses the comments which were received and the changes which were made to the rule based on such comments.,entailment
388178,There are many roles the COOs have but none differ from the roles assumed by the current Deputy Secretaries.,Statutory COOs would differ from-but hopefully complement-the roles often assumed by the current Deputy Secretaries in assisting the Secretaries in executing the administration's policy and program agenda and achieving an agency's mission.,contradiction
361247,That was gratifying.,That was a satisfying moment.,entailment
364751,Smith's controversial political doodles give one pause more often than they used to.,But some of Smith's doodles and offhand remarks give one pause.,neutral
301124,It's not you.,'Is that you?',contradiction
297540,I owe a lot to my junior high-school social studies teacher.,"By that standard, I owe more than I thought to my junior high-school social studies teacher.",entailment
355144,The steel we were working with was very hot.,we were working with that steel that's thousands of degrees hot and i would have to cover for him you know like i would have to do two jobs for someone just because they they think they're being smart or something,entailment
23539,The National Gallery exhibition does not allow online copies of art.,: The preceding images are not from Michelangelo and His  Drawings from Windsor Castle (online reproduction of art in the National Gallery exhibition is forbidden).,entailment
238494,I always strive to do what Ben Franklin would do.,"Your psyche profile makes you easy to predict... Maybe I didn't know exactly what Ben Franklin would do, but I had a good idea of what he wouldn't.",neutral
30261,I used to do it before I moved here.,i haven't done it in quite awhile since i moved down here But i used to do it,entailment
234466,William Playfair's style is greatly appreciated by locals and tourists alike.,"Most influential at this stage was architect William Playfair, and his flair can be seen in many of the streets and public buildings of the time.",neutral
361213,It's surely a marriage made in heaven.,"There's no question it's a marriage made in heaven, said Downey.",entailment
287418,"Dresses made with pages from phone books, or with words of other languages printed on the fabric, have shown the newfound lack of respect for the written word.","Brocade or chiffon dresses covered in who-knows-what utterances in beautiful Chinese and Arabic script, or dresses wittily made of paper printed with the New York Yellow Pages, all express a joyful relish in the decay of the written word, a forthright pleasure in the way its meaning has been draining away.",entailment
258971,Paella is prepared in advance for dinners.,"Technically, paella is served only at lunchtime and always cooked to order.",contradiction
181757,Multi-address locations reduce the per recipient cost burden.,Delivery to a multiple address building or to a multiple address kiosk means that the fixed cost of traveling to that stop is spread among the several addresses which receive mail there.,entailment
177143,Old Madrid was mostly constructed during the 16th century.,"The heart of the city is Viejo Madrid, Old Madrid, a largely 16th-century city built upon the layout of narrow, winding streets of an old Moorish settlement.",entailment
34947,The short stroke engine worked really well.,yeah well that was uh that was a short stroke engine it could really wind up,entailment
90410,"She is obliged to behave better, because this is how women are expected to act.",There is a subtle sexism in  The female domestic tycoon is obliged to behave better than the guys.,neutral
160593,Tommy wanted to find out more about it.,"Obviously what we've got to do is to find out more about it all."" Tommy applauded.",entailment
7288,System administrators don't do anything to protect the organization.,"In addition, system administrators are the first line of defense against security intrusions and are generally in the best position to notice unusual activity that may indicate an intrusion or other security incident.",contradiction
67510,"Listen, it's the End of the World.","Hey, it's the End of the World.",entailment
321660,"Where I teach, there are many poor whites and Latinos.","I teach at a school with many poor whites and Latinos, many of whom can't afford home computers or did not learn how to use them in high school.",entailment
343739,Twelve different kinds of plants are growing in the atrium.,"The peaceful atrium nurtures primitive plants, several of which have evolved over a period of 100 million years.",neutral
334416,You're not breeding her anyways so it doesn't matter.,are you going to try and breed her several times or you'll see how the first breeding goes or,contradiction
48780,People on Porto Santo are adamant that the place had nothing to do with Columbus's voyage.,"Even today, there are those on Porto Santo who will tell you that it was due to his time spent there that Christopher Columbus learned navigation techniques and the ways of the ocean, and found the inspiration to undertake his voyage of 1492.",contradiction
247281,The Five-Story Pagoda is directly to the left.,"To the left is the Five-Story Pagoda, and across the courtyard is the main hall of Sensoji.",neutral
77,We should be independent and stay away from talking and working with other nations.,"In an increasingly interdependent world, many pressing problems that affect Americans can be addressed only through cooperation with other countries.",contradiction
273872,In 1770 there was a fire that charred the Burnt Column.,"Also called the Burnt Column, it was charred and cracked by a great fire that ravaged the district in 1770 (the iron hoops help to reinforce the column).",entailment
