,acceptability,sentence
3030,1,I hunted the secret out of him.
5329,1,He does not finish.
949,1,"I could find no solution, but Holly might."
8346,1,Julie and Jenny arrived first
6144,1,The torpedo sank the boat.
6266,1,The boys don't all want to leave.
1607,1,The man who ordered a hot dog got one.
1243,0,Myron is making Suzie's claim that dead is better than red.
4192,1,It is the main street.
2420,1,The butcher cuts the meat.
2628,0,The general banished from the army.
8422,1,Merlin is a dangerous sorcerer.
1978,1,That you will marry any particular student is not certain.
3974,0,Oliver mentioned Charles the problem.
4751,1,How ill has Hobbs been?
3441,1,"The handsome, tall, nice man kicked the ball."
1853,1,"Him, they let him go yesterday."
8379,1,Gilgamesh might not have been reading the cuneiform tablets.
2423,1,The audience watched the movie.
1064,1,Bill seems to himself to be handsome.
6785,1,"Mrs Bennet having taken the others upstairs, Mr Bingley proposed to."
7321,1,I put the book on the shelf.
2400,1,The letter established his innocence.
6646,1,"Very heavy, this parcel!"
4739,1,Who is clever?
8189,1,Did you see Mary?
430,0,It's probable in general that he understands what's going on.
4799,1,Which book by his father did he read?
7789,1,Who did you say that John thought would leave early?
838,1,John's refusal of the offer was shocking.
2832,0,The old and new carts banged.
77,1,Bill cried himself to sleep.
714,0,I saw the men all.
2883,1,Harriet interconnected the pieces.
4692,1,The document was looked into by the lawyer.
2640,1,Brian wiped the counter.
8534,1,The readings of Shakespeare satisfied me
6294,1,To be able to buy myself a ticket to France would be a dream.
2200,0,Celia braided.
8131,0,She kicked itself
425,0,The children eat all chocolate.
5797,0,I loved the policeman the baker intensely with all my heart.
2694,0,The package carried to New York.
2037,1,Jake kicked the ball halfway to Bill.
1211,0,The hat which I believed the claim that Otto was wearing is red.
5079,1,It was to the student that the teacher gave the best advice.
1730,1,"Hank plays the guitar and finds arrangements for all the old folk songs which are still sung in these hills, and Ernie writes down all the old folk songs which are still sung in these hills."
7051,1,I have gone and bought some whiskey.
1161,0,I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.
5350,0,A tangerine isn't as much different from an orange as I'd thought.
1512,1,That he ever went there alone is odd.
5348,0,They think she is too much happy.
2859,1,Carol carved the stone.
3942,1,The jury seemed ready to leave.
8427,0,The dragons were slain all.
3044,1,Ellen told a story to Helen.
5337,1,Jack eats more caviar than he eats mush.
4744,1,Can the child read the book?
7835,1,Medea poisoned more children than Jason did.
5009,1,John is tough to please.
6060,0,"If he is a rich man, he'd buy a diamond ring."
794,1,Mary tried to go abroad.
3477,0,the box contains little tool.
8392,0,Himself saw him
697,1,John rolled the ball down the hill perfectly.
4475,1,Do be honest!
3913,1,Kim relies on Sandy.
2483,0,Lydia pocketed the change in her pocket.
6246,1,It is likely that Jean will dance.
6964,1,Emma and Harriet were attacked by those bandits.
6124,0,It was kissed her.
7997,1,"At Trade, Anson danced extremely frantically"
1974,1,"Tom will force you to marry no student, and neither will I."
3395,1,She waltzed across the floor.
6396,1,John talked to every woman.
268,1,"If you give any senator enough opportunity, he will succumb to corruption."
3544,1,They read the interesting book.
2290,1,David constructed a house from bricks.
8078,1,Anson will come to the party.
5857,1,The Brazilians pumped the oil across the river.
1875,0,"Every student, who wears socks, is a swinger."
1081,1,A gun which I had cleaned went off.
279,0,"He seems to become more corrupt, the more lobbyists every senator talks to."
392,0,Sees he I often Mary?
105,1,"The more that you eat, the less that you want."
6275,1,Alan told me who wanted to seem to be invincible.
6426,1,Any bird flies.
3299,1,The garden flowered with roses.
496,0,They tried all to like John.
6670,1,Who bought that piano for his secret fianc̩e?
7716,1,Nathan received the cloak from Benjamin
3088,1,Ellen warned Helen.
7228,1,I sent it to you.
3085,1,Ellen complained to Helen.
705,1,Mary jumped the horse perfectly over the last fence.
879,0,You shouldn't have played with rifles because to have is dangerous.
2954,0,I shaped a good loaf from this dough.
8395,0,He analysis her was flawed
2444,1,There is a flowering plant on the windowsill.
3678,1,Chocolate cakes and pies are my favorite desserts.
4333,1,Kim may have admitted to let Mary mow the lawn.
5985,1,Megan was sat on by her brother.
4177,1,Neither of the cars has air conditioning.
6865,1,Norman Lemming jumped off the cliff and so did William Lemming.
5033,1,Which piano is this sonata easy to play on?
8548,1,It is easy to slay the Gorgon.
5111,0,That gets you so involved is the writer.
3860,1,The scientist made her a robot.
3490,1,No one knows how to tell from a good beer to a bad one.
3633,1,"John might pass the exam, and as might Bill."
528,1,The tree gradually dropped its fruit to the ground.
4978,1,This is the book which I need to read.
2886,1,Linda taped the label and the cover together.
5759,1,Many soldiers have claimed bottled water satisfies thirst best.
2719,1,They lent me a bicycle.
7120,0,We talked about that he had worked at the White House.
522,1,The stone knocked against the pole into the road.
4617,1,Pat handed a book to Chris.
6011,0,I might ate deep fried muffins.
4645,1,Pat handed Chris a note.
2231,1,"This lotion softens, soothes, and protects."
1443,1,Did his having played the piano surprise you?
5218,0,Each candidate who has any interest in semantics will be admit ted to the department.
3818,1,John gave a book to the students.
7299,1,Pel̩ visited his uncle.
2972,0,The press conjectured Smith the appointee.
5948,1,I think John likes his beer.
7115,1,Pat remembered the appointment and that it was important to be on time.
3362,1,A dog lay in the comer.
7540,0,Mary appreciates John and himself.
7926,1,The man chuckles
7512,1,John said he was sick.
7864,1,Burn letters to him!
612,1,John tapped a barrel of some wine.
5267,0,John believes that Fred likes steak that Joe likes pizza.
1043,1,Every man lifted the table.
5819,1,The coat of the panther is dark black.
2224,1,That dog bites.
3821,1,John promised Bill to leave tomorrow morning.
5772,1,Kevin ate spaghetti with a spoon and Geordie did so too.
1157,1,I insist on seeing all the student' through who started out the term in my class.
5540,0,I'm more worrying than thinking.
7002,0,John sang beautifully and a carol.
2885,0,Linda taped the wall with the picture.
5359,1,These plants may grow as much as 6 feet high.
2620,0,Doug removed the scratches to nowhere.
1129,0,What what I ate cost almost broke me.
2594,1,Jessica sprayed paint on the wall.
266,1,You give him enough opportunity and every senator will succumb to corruption.
4323,0,We believed it to try to leave the country.
5457,0,John isn't an any more reliable fellow than Bill.
7319,1,I said for Mary to run.
1351,0,Reports of the lettering on the covers of which the government prescribes the height are shocking waste of public funds.
3339,1,A large ship appeared on the horizon.
6590,1,People are said to do crazier things at higher speeds there by Dorothy than they are by other people.
2213,1,Brenda and Molly chatted.
2327,0,The judge offered the winner with a prize.
1840,0,"That they spoke to the janitor about that robbery yesterday is terrible, the cops."
3090,1,Ellen warned against skating on thin ice.
6835,1,Frank bought a piano for Jane.
5781,1,"Bob is very serious about Mary, but less so than Paul."
1119,0,They dismissed as to costly the proposal.
2616,0,The change pocketed.
882,1,"Lilly decided that eating cabbage, she should be."
7843,1,"Medea thought that, after the executioner had left, Poseidon would be relieved."
7506,1,"Then, John left."
3252,1,Tony bent Mary's arm.
1554,1,"Tom ordered bacon, and Dick lettuce, and Harry tomatoes."
6749,1,Did Captain Wentworth write a letter to Anne Elliott?
875,0,"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to."
6636,1,Jeeves sauntered into the room.
4170,0,How much fresco did the flood damage?
5757,1,Louis hinted Mary stole the purse deftly.
5908,1,It bit me on the leg.
7463,1,Didn't Sue pass her exam?
5621,1,Everyone should be able to defend himself.
5846,1,I asked for him to eat the asparagus.
7645,1,"Only Churchill remembered himself giving the Blood, Sweat and."
7922,0,I have might be flying helicopters.
2525,1,It is rumored that he left town.
2216,1,Italy touches France.
3402,0,Rose accompanied.
5162,0,It is on Kim on whom Sandy relies.
7765,0,The therapist's analysis of Lucy's
5149,0,To whom do you think it is the book that Mary gave?
1272,0,Whose tax did the nurse polish her trombone and the plumber compute?
4945,1,No student who scored 80 or more in the exam was ever failed.
7889,1,Benjamin gave the cloak and sent the book to Lee
2271,1,Jack sprayed the wall with paint.
6842,0,Kick John the ball.
2565,0,I funneled into the bottle.
3052,1,Susan whispered a few words.
3673,1,That tall woman chased a cat.
8153,1,They arrived first
7019,0,Tracy has become a republican and of the opinion that we must place nuclear weapons in Europe.
7378,1,I saw the student.
2042,1,I shipped the package halfway to the Antarctic.
8011,1,Pigs love truffles.
1297,0,Which quonset hut does the boy work in a skyscraper and the girl in?
7401,0,They are special of Bill.
1202,1,Phineas knows a girl who is working with Maxime.
5182,0,I don't have almost any potatoes.
8207,1,I like Anson
1593,1,"Although no one else thinks that Sally is innocent, Harry thinks so."
1475,1,That that for Herschel to throw a fit would confuse the guards was obvious is not true.
8451,1,She might be pregnant.
3943,1,John became a success.
4716,1,The son took care of his parents.
3627,1,Where did he look?
7351,1,John ate.
3332,1,The stream winds through the valley.
5850,0,Fabio asked had if Claus run a marathon.
3707,1,I don't know the people present.
220,0,"The more people everyone who likes pays attention to, the happier we all are."
6624,1,There are fewer trucks on the motorway this winter.
610,1,John hit the wall with the stone.
7639,0,Everyone hopes him to sleep.
7579,0,I like Mary and she does like Mary too.
7311,1,I know that she runs.
8082,1,That bottle of water might.
2357,0,I sought the woods for game.
7862,1,The banana is being eaten by that monkey.
483,1,There promises to be a storm tonight.
4717,1,The matter was paid a lot of attention to.
5684,1,Susan bought some flowers for her birthday.
4676,1,The issue was dealt with promptly.
1987,1,Abernathy admitted that the poison pen letter had been written by my sister and him.
3657,0,John sounded in the park.
5715,1,John paid a dollar for a head of lettuce.
4244,0,I washed me.
2856,1,The knife cut the bread.
6430,1,Yesterday John talked to any woman he saw.
4950,1,"He who is without sin among you, let him cast the first stone."
2809,0,Paula swatted the cloth through the fly.
6905,1,Imogen took the vase to her mother's.
426,1,John has often kissed Mary.
8549,1,I had the strangest feeling that I knew you.
5805,1,The ugly man from Brazil found books of poems in the puddle.
112,1,"I demand that the more John eats, the more he pays."
7229,0,I sent to you it.
6919,1,The climbers were killed with the intense cold.
5482,1,It was as awful a picture as it first seemed.
4241,1,The committee haven't yet made up their mind.
2753,1,$50 won't even purchase a dress at Bloomingdale's.
6576,0,"John, who and whose friends you saw, is a fool."
7423,0,"Yes, she."
5269,0,That he was hungry was whined by John.
3000,0,Paintings admire easily.
6482,1,John slipped in front of everyone who was there.
7355,1,John saw.
4178,1,None of these men wants to be president.
5019,0,The child is impossible to teach him.
2515,0,Sharon brought Willa breathless.
245,1,I wonder to how many people Bill talks.
6098,0,I want Bradley that left.
481,1,There is tending to be more and more discussion of these issues.
359,0,How do you wonder whether John said that Mary solved the problem?
4425,1,John is running to the car.
525,0,The box gradually contained the ball.
350,1,"`` I am so happy '', thought John."
256,0,"The more that pictures of himself appear in the news, the more likely John is to get arrested."
3213,1,The onions reeked.
5664,1,I ate the sugar.
3595,0,The students looked the high stairs up.
5320,1,Would John hate that!
7891,0,I arranged for to see her.
4895,0,Jack is the person whom Jenny fell in love.
3559,0,My these jobs are in jeopardy.
8048,1,Michael left Meg
28,1,We drove Highway 5 from SD to SF.
5200,1,At most three teachers assigned any homework.
5776,1,I am fond of circus performers.
7154,1,"This girl will not buy bread, will she buy bread?"
6240,0,It is reluctant that Jean left.
1530,1,That the sun was out was obvious.
131,0,"The more everyone eat, the more John keeps his big mouth shut about it, OK?"
7825,1,Every vampire slept.
4135,1,There are three Davids in my class.
6561,1,I know a man who saw Bill and liked Mary.
2026,1,Where did you send the bicycle? To Rome.
7726,1,What Julie became was fond of Lloyd.
263,1,"Stories about him seem to show up more on the evening news, the more that John gets upset by them."
1497,1,I promised that tomorrow he would be there.
2921,1,The jeweller printed the name under the picture.
461,1,The boat was sunk to collect the insurance.
3651,0,The men doctors of medicine.
7336,1,The time elapsed slowly.
718,1,They returned the books all to their owners.
5783,1,the book of poems with a red cover from Blackwell by Robert Burns takes a very long time to read.
3016,1,They praised them as volunteers.
699,1,John shot the ball perfectly.
1729,0,"Sally is tall, and may be, and Sheila is short, and definitely is, blond."
2666,0,The gold mined.
8218,1,I have eaten my hat already
1062,1,Which pictures of him did Earl see?
7872,1,That bottle of water might have cracked open.
715,0,The men were arrested all.
8397,1,Gilgamesh decided not to kill Ishtar
2348,0,Melissa searched a clue in the papers.
7795,1,Lucy's photograph of Jane
2422,1,This silver polishes itself.
5712,1,Every cat always knows the location of her favorite catnip toy.
1732,1,They said that Tom would pay up and he will pay up.
6287,1,The news pleased the students.
1323,1,Who gave what to whom?
2426,1,The heat melted the ice cream.
2850,1,Carol cut the bread.
3144,1,The princess bowed.
8518,0,Peter is pigs
2873,1,The eggs and the cream mixed.
5349,0,Mary speaks so much gently.
7760,1,It was for Jenny that I intended to be present.
6172,1,I won't reveal the place.
3091,1,Ellen warned Helen that melons were selling.
8201,1,Many vampires have become vegetarian.
812,0,There is strangers in that garden.
7278,1,John saw Mary.
6695,1,Mr Elton handed his wife into the carriage.
7823,1,Hasn't the potion worked?
7213,0,It is deadly afraid of flying that John became.
1927,1,Bill alleged that Roger had eaten the cake.
5429,1,He's a bit of a gossip.
773,1,Our love they.
944,1,We like our friends and they do too.
67,1,Bill floated down the river for hours.
5034,1,That dogs bark annoys people.
6103,1,The puppy was kissed by the policeman.
23,0,We yelled Harry hoarse.
5598,1,Dave left.
4310,1,There seemed to be a fountain in the park.
2824,1,Paula spanked the naughty child on the back.
2965,0,Conflict engenders.
7108,0,Kim likes Sandy and Lee likes to Leslie.
3685,1,"When you book something such as a hotel room, you arrange to have it."
3427,1,The ball kicked a man.
3686,1,Price quotes on selected categories will be sent out upon request.
7331,1,"They cooked, thickened the soup."
6261,0,Louis begged Kate to shave himself.
5317,0,"Handsome though my friends suggested that Mary thinks that Tom is, I still won't date him."
3950,1,The school board leader asked the students a question.
1450,1,They are investigating all people owning parakeets.
4332,0,Under the bed wants to be a fun place to hide.
6688,1,The cook saved no scraps for the dog.
5077,1,It was the man that bought the articles from him.
7252,1,That the girl put a picture there proves her guilt.
5809,1,People with boxes of old clothes lined up behind the door of the building with the leaky roof.
5181,1,Almost any lawyer could answer that question.
5922,1,Adam asked if Hyacinth likes pineapples.
8462,0,Him book
1491,0,That a review came out yesterday is catastrophic of this article.
8401,0,Who did a statue of surprise Medea?
6992,1,Sandy is either a lunatic or under the influence of drugs.
1806,0,John is ready for you to inspect bunk.
6495,1,"If anybody comes, he rings the doorbell."
847,1,"Jos̩ is eating cabbage, and Holly is too."
3473,1,little equipment is available.
5888,1,Daniel received a scolding from Hanna.
5498,1,Such an eminent scholar as Dr. Lucille Hein was here.
4666,1,She was sent to Seoul.
5314,1,"Love her though I may, that won't affect the grade."
2558,1,I funneled the mixture into the bottle.
1080,0,Jean reads never this newspaper.
3679,0,The children were in their rooms or happily.
1750,0,"Handsome though Dick is fair, Nordic, strong and, I'm still going to marry Herman."
1298,1,The luscious chick who Billy went to the movies with will wed me ere the morn.
7297,1,Mary should buy some flowers on Sunday at 5 o'clock.
2688,0,The book brings easily to the meeting.
6057,0,Andy promised us to go.
4593,0,Any zebras can't fly.
4530,1,"Kim was dancing, and Sandy was, too."
8041,0,Anson kissed him
7983,0,What Medea wondered if was the potion was ready
1668,1,It was this hat that Tom said Al thought you wanted me to make Jack put on.
4974,1,Students enter high-level educational institutions might face many problems relating to study habits.
5188,1,Generics allow exceptions.
2009,1,Fred kicked the ball under the porch.
5318,1,"Hate those who criticize Carter though he may, it doesn't matter."
3354,1,A serious accident happened in front of them.
7259,1,Let's walk.
265,1,"If you give him enough opportunity, every senator will succumb to corruption."
2177,1,Bill pounded the metal.
7013,1,Pat has become a Republican.
5756,1,The book of poems with the bright red cover stinks.
6707,1,Too many vehicles are damaged by salt.
4746,1,Which version did they recommend?
3060,1,Heather cabled Sara.
7129,0,This girl in the red coat will put a picture of Bill it on your desk before tomorrow.
2834,1,Alison poked the needle through the cloth.
7498,1,We put a book on the table.
7270,1,I think that you will see that the girl will put a picture on your desk.
7870,1,Which book are you reading?
2372,1,The inspector analyzed the building's soundness.
8020,0,I found there.
5728,1,I mailed the sweater to Mary.
5024,0,John is eager to find.
1180,1,The brave are not afraid to die.
5858,1,Lenin believes the Tsar to be a power hungry dictator.
7788,1,Who kissed who?
5683,1,Susan bought some flowers for her mother.
8037,0,He looked up it
5139,0,It is Kim on whom that Sandy relies.
1058,1,Everyone who had been worrying himself stiff said that he was relieved.
7041,0,Who did Robin visit and?
451,1,Who bought what?
4129,0,President Lincoln delivered her Gettysburg Address in 1863.
1533,1,Mary scratched John's arm too.
762,1,The grocer ground the coffee beans to a fine powder.
1578,0,"After ten soldiers had left, seven more ones came in."
1972,0,The writers of any of the reports didn't know the answer.
4983,1,We just finished the final exam the result of which we can find out next week.
1506,1,That he sometimes went there alone is certain.
5668,1,I asked the question.
4387,0,The house is been remodelling.
1647,1,I brought John a razor with which to shave himself.
5698,1,The man killed the king with the knife.
7747,1,Ron definitely has bought a dog.
4417,0,Kim must bakes a cake.
764,1,The joggers ran their Nikes threadbare.
1092,0,Here is the snowball which I chased the boy who threw at our teacher.
3731,0,Our neighbor take his children to school in his car.
246,1,"The longer he has to wait, the angrier John gets."
7202,1,Mary saw the tall man coming from England.
6780,0,Fanny continued talking although in came Aunt Norris.
598,0,The kettle bubbled water up.
4618,0,Pat handed to Chris.
7388,0,I saw the physics one.
4637,1,The car was being driven.
7078,1,Either the boys or the girls are going to be there.
5037,1,It is unclear why she told him.
3153,1,Sharon shivered at the thought of the cold sea.
769,1,We love them.
1114,0,He attributed to a short circuit the fire.
6806,0,Ayala went to the ball and Jonathan Stubbs chatted to.
5010,0,To please John is ready.
6080,1,Calvin will have been eating.
6625,1,There are less trucks on the motorway this winter.
6818,1,All the foxes were hunted by Larry.
3492,1,The students drank too much beer last night.
4171,0,I read some book.
4959,1,Bill cooked supper and washed the dishes.
2675,1,Carla slid the books across the table.
2613,0,The toast buttered.
1348,1,Reports the height of the lettering on the covers of which the government prescribes should be abolished.
7100,1,"Two days ago, we went out to dinner, and this afternoon, to the movies."
3572,1,"John will study syntax, and Mary, too."
6115,1,It is likely that Patrick left.
3177,1,Celia brushed the baby's hair.
5280,0,How difficult to study for the exam was it?
7358,0,The agency classified.
3446,1,All native speakers have a grammatical competence which can generate an infinite set of grammatical sentences from a finite set of resources.
3419,0,The phone company billed $10 as me.
6997,1,I consider that a rude remark and in very bad taste.
2174,0,French fabrics adore easily.
388,1,Could they have left?
8489,0,Which temple did Athena contemplate the reason that her devotees had built?
290,1,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters."
2536,0,The horse budged.
5675,1,I gave Leah the box.
1777,1,Willy is taller than Bill by that much.
5826,0,the man standing over there's the hat impressed me greatly.
4061,0,We hope the availability of such a vaccine in ten years.
8482,1,Who did you hear an oration about?
300,1,"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters."
5415,1,She speaks too clearly.
5290,1,"It's obvious that Mary, he can't stand."
3809,1,"To finish it on time made quite a statement, didn't it?"
5546,1,John is taller than six feet.
5591,1,I wonder what Fiona bought.
1185,1,"He told Peter that I know a taller man than John, but Peter didn't believe it."
493,0,"Bill seems to be obnoxious, but I don't think that Sam happens."
4013,1,The monkey seems despondent that it is in a cage.
3462,0,much clue is needed.
3564,1,I doubt if you can help me in understanding this.
7804,1,Who seems to be certain to leave first?
1749,1,"Handsome though I believe that Dick is, I'm still going to marry Herman."
2596,1,Jessica sprayed the wall with paint.
1052,1,Someone attended every seminar.
5763,1,Felicia wrote a fine paper on Zapotec.
1363,1,These points I'm going to ask Bill to make the old geezer take up later.
7752,0,Dante accused
2849,1,Carol cut the bread with a knife.
2836,1,Alison poked the cloth with a needle.
5251,1,He continued writing poems.
8507,1,Gilgamesh didn't leave.
3979,1,The love of my life and father of my children would never do such a thing.
7383,1,I saw the brilliant one.
4857,0,What city will Fred say that Mary thinks that John lives?
4778,1,Who can put the book in the box?
5965,1,Heidi thinks that the salmon flavored candy bars were eaten.
3975,0,Oliver fined ten pounds to the prisoner.
473,1,I believed these students to all like John.
1411,1,Use was made of Gauss's polynomial lemma.
887,0,Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.
6316,1,Calvin admired himself in the mirror.
4534,1,"When Kim was in China, I was too."
5947,1,I think that John likes his beer.
7049,1,I've got to try and find that screw.
6783,1,Fanny regretted talking to Mary.
1608,1,Tom says that it's going to rain but I don't believe it.
3188,0,She always clad herself in black.
5970,1,Jeff was dancing with Sylvia while Amy sat angrily at their table.
6773,0,"When Dr Jones died of apoplexy didn't he, Mary Crawford went to live with his wife."
523,1,The stone knocked the pole into the road.
7464,0,Will not John go to school?
3517,1,He washed us.
3065,1,Heather cabled for Sara to come.
369,1,"Mary thinks that John said that pictures of himself, Susan likes?"
3185,1,She spruced up before the job interview.
7932,0,Has not the potion worked
2740,1,Carmen bought a dress at Bloomingdale's.
4514,1,Shall I go downtown?
7054,0,I have gone and buys some whiskey.
7392,1,The big student of physics with long hair in the library.
1068,1,Each other's houses appear to the women to be garish.
6334,1,Heidi saw Peter's picture of her.
8453,1,Anson demonized David at the club.
6165,1,What did Stacy say Becky bought?
7561,1,the girls likes them.
6610,1,With which club did you hit the winning putt?
6199,1,Who loves who?
7644,1,"Only Churchill remembered his giving the Blood, Sweat and Tears speech."
1361,0,The boy whose we elected guardian's guardian's employer president betrayed us.
1122,1,I found delicious some fruit which I picked up on my way home.
1148,0,I sent him it.
2304,1,I mixed the sugar and the butter.
4033,0,There runs a man in the park.
2407,1,That whole wheat flour bakes wonderful bread.
6987,1,Pat is either stupid or a liar.
2936,1,This wood carves beautiful toys.
8466,1,No vampire can survive sunrise.
8498,1,Aphrodite quickly freed the animals
7617,0,I had a realization of there.
7959,1,They sat on Mary.
3749,1,His girlfriend bought this computer.
4023,0,These are similar with the bottles.
5145,1,I wonder who it was who saw you.
6118,0,It is likely Patrick to leave.
7515,0,Mary wrote a letter to himself last year.
1100,1,I know who is mad at John.
194,0,"The more people you say that will buy tickets, the happier I'll be."
4882,1,We will invite volunteers on whom to work.
4527,0,"They can't do it, can he?"
7741,1,Dracula thought that he was the Prince of Darkness.
46,1,The bullets whistled past the house.
3010,0,Dorothy needs that dress a costume.
1861,1,"I saw Mary and him downtown yesterday, your friend from Boston."
4732,1,He got hit in the face with the tip of a surfboard.
3472,1,little evidence was provided.
6070,1,Rory is eating muffins.
8337,1,I asked Anson if he was happy
7817,1,The old house collapsed.
2712,1,Nora pushed at the chair.
3758,1,He remained a good friend to me.
2602,0,Jessica stuffed boxes at the truck.
2623,0,The scratches removed from the tabletop.
2571,0,I lifted the table with the books.
479,1,They were believed all to be quite diligent.
2806,0,Paula swatted the cloth on the fly.
1145,1,He figured something out.
7888,1,I inquired if we could leave early.
1341,1,"The dumplings which Sasha is gobbling down faster than I can reheat the meatballs are extremely tasty, if I do say so."
8099,0,The child wail
1485,1,Why don't you pick some review up of this article?
5509,0,She made such a much better reply.
5693,1,I saw these dancers and those musicians smoking something.
5529,0,"Mary's happy about her work, and John's about his children."
1922,1,He gave that girl my binoculars.
3273,0,The sun bloomed the roses.
8168,0,We believed to be the headmaster
1624,0,Why he knows the answer!
2647,1,Carla shoveled the snow from among the bushes.
8532,1,How did Julie say that Jenny left?
2003,1,Jill kicked the ball from home plate to third base.
5785,1,the book of poems from Blackwell by Robert Burns with a red cover takes a very long time to read.
1966,0,Bill believes Anna and himself to be similar.
4303,1,Pat was believed to have been examined by the dentist.
7290,1,John can quickly go to the market.
1898,1,There is a hole in the rug which Toby bought in Boston.
3283,1,Squatters lodged in these abandoned buildings.
189,1,The more carefully he words the letter the safer he'll be.
3857,1,This proved my hypothesis.
589,0,the logs piled the barge high.
4774,1,In which box did John put the book?
7133,1,This girl in the red coat will put a picture of Bill on your desk before tomorrow.
3557,1,"John sang a song, Mary played the piano."
8164,1,Which goddess helped us?
5618,1,George sang to himself.
3585,1,She thought it was easy for everyone to fit into the car.
1279,0,The tall nurse who Tony has a Fiat and yearns for is cruel to him.
3918,0,The problem disappeared the accusation.
3935,0,John disappeared Bill.
1904,1,Fred had a snake behind the car he was sitting in.
2048,0,Sam gave the ball off the shelf.
6233,1,Jean is reluctant to leave.
501,0,John would be liked to win.
4156,1,Fifteen dollars in a week is much.
1329,1,Harry will be in the Marines next year and Herman was drafted last night.
7677,1,the rice was cooked by Bill.
1644,0,I brought a razor with which to shave himself.
6914,1,What this arch does is support the weight of the tower.
361,0,Which problem do you wonder whether John said that Mary solved?
3579,1,It is crucial for John to show an interest.
1112,0,I polished the vase which was from India up.
3533,0,They have no old.
3021,1,I was hunting in the woods.
6547,1,He was a bully.
1659,0,"Fluffy is sick, which I slapped a boy who wouldn't acknowledge."
5586,1,Doug blew the building up.
8057,0,Jason killed.
3295,1,In the mountains there raged a fire.
6720,1,The gentleman who saved Marianne was Willoughby.
7222,1,What Henri wants is the book which is on the top shelf.
3513,0,He washed herself.
271,0,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption."
2578,1,Tamara poured water out of the pitcher.
5677,1,I told Daniel that the exam was cancelled.
5769,1,His yearbook picture gives Tom the creeps.
6407,0,"Every student in Mary's class, whoever they were, happened to vote Republican."
84,1,"If the telephone rang, it could ring itself silly."
5207,1,Any professional dancer would be able to do it.
370,1,"If you don't believe me, you will the weatherman?"
4273,0,There tries to be warm in September.
5281,0,How hard to read the book was it?
203,1,"The richer John gets, the more geniuses John meets."
4295,1,Stephen persuaded Ben to be careful.
4718,1,A lot of attention was paid to the matter.
5336,1,Jack eats caviar more than he eats mush.
848,1,John is leaving but Mary's not.
6854,0,Only Glasgow would he travel by train.
6481,1,Mary sang for anyone who wanted to hear her.
5029,1,"This $500 bribe will cost the government $500,000 to prove that Senator Jones accepted."
6669,1,Did the wealthy young man buy that piano for his secret fianc̩e?
4745,1,What can the child read?
7172,1,"They play unusual music, and I listen to unusual music."
1821,1,"My father, he's Armenian, and my mother, she's Greek."
3502,1,I have never put the book.
5423,1,We made enough pudding to last for days.
5704,1,John and the man went to the store.
6595,1,A man just came in and a woman went out who hate each other like poison and always have.
6490,1,"At the end of his speech, the president thanked any soldier who had fought in the gulf war."
2244,1,Faustina sprayed the lilies.
4471,0,Jim does have supported the theory.
2114,1,"Sandy taught the children the alphabet, but only got as far as the letter `` r ''."
7094,1,"John gave the books to Mary at Christmas, and the records to Sue for her birthday."
3309,1,The hall is echoing with voices.
5831,1,Peter thinks that Cathy loves him.
1204,0,Who does Phineas know a girl who is behind?
7721,0,Peter is some happy pigs which can fly.
1568,1,. I figured it out that she was lying.
2329,1,The judge saddled the winner with a prize.
6696,1,Emma gave bad advice to Harriet.
3415,0,The book valued $200.
8022,1,Anson became the Mayor
4975,1,A fellow student saw this felt sorry for Miss Kim and offered her his own book.
1117,0,He threw into the wastebasket the letter.
5347,1,They think she has too much independence.
40,0,They caused him to become angry by making him.
8063,1,I have eaten already
1212,1,The hat which I believed that Otto was wearing is red.
4320,1,We believed there to be a fountain in the park.
340,1,He may not just not have been working.
4322,0,There tries to leave the country.
3063,0,Heather cabled the news at Sara.
7461,1,Hasn't Henri studied for his exam?
4292,1,The dentist is eager to examine Pat.
5619,0,Himself sang to George.
4998,1,It is John that I met last night in the park.
8185,1,Alison and David soaked their feet after dinner
911,1,"This is the book of which Bill approves, and this is the one of which he doesn't."
4903,1,He made a statement which everyone thought was really interesting and important.
135,1,"Everyone keep your mouth shut tighter, the more John eats, OK?"
5885,1,Doug went to Chicago.
2222,1,for discussion of the same phenomenon in Russian.
5307,0,1 put the book after the party on the table.
4487,1,We asked him not to try to call us again.
8092,1,Who seemed to have left first?
6384,1,Any pilot except Sue could be flying this plane.
36,1,Bill drank from the hose.
1830,0,That informers they never use is claimed by the CIA.
5936,1,Louis was forgiven.
2152,1,Margaret cut at the bread.
1141,0,He figured out it.
7271,1,They understand that you will prefer for the girl to put a picture on your desk.
6902,1,Siobhan burnt a pattern on the piece of wood.
4800,1,John asks in which box he put the book.
227,1,"Once Janet left, Fred became much crazier."
4793,0,Peter will decide that we should review the book.
261,1,"John is more embarrassed, the more pictures of himself appear in the news."
5204,1,"Before you make any plans, consult the secretary."
8183,1,Gilgamesh may seek Ishtar
5433,0,He's fool.
